metric,region,activation,comparison,mean_in,mean_alt,delta,p_raw,n_nonzero,p_holm,better
HD95,TC,ReLU,BN vs IN,2.2978645416719754,2.6113011390401675,0.31343659736819207,0.04110992140784453,27,0.16443968563137812,False
HD95,TC,Swish,BN vs IN,1.9555952864192647,2.875245110871629,0.9196498244523641,0.04351264218905504,27,0.16443968563137812,False
HD95,TC,TanhExp,BN vs IN,2.2202912206481167,2.676076975691436,0.45578575504331953,0.28186906531175904,32,0.28186906531175904,False
HD95,TC,LeakyReLU,GN vs IN,1.9300824937400152,2.5247051716668256,0.5946226779268105,0.06043299263787061,33,0.18129897791361183,False
HD95,TC,PReLU,GN vs IN,2.2000414549435425,2.5057393528546767,0.3056978979111342,0.03488055982899452,29,0.16475012835598823,False
HD95,TC,ReLU,GN vs IN,2.2978645416719754,2.4054601872295844,0.10759564555760903,0.1862651530862387,27,0.3725303061724774,False
HD95,TC,Swish,GN vs IN,1.9555952864192647,2.4696255182262252,0.5140302318069605,0.03295002567119765,29,0.16475012835598823,False
HD95,TC,TanhExp,GN vs IN,2.2202912206481167,2.691079805019677,0.47078858437156024,0.4589800473958161,28,0.4589800473958161,False
HD95,WT,LeakyReLU,BN vs IN,3.0064580886260797,3.0100221648166503,0.003564076190570642,0.6873277241147189,33,1.0,False
HD95,WT,PReLU,BN vs IN,3.068296499238369,2.1305825643259118,-0.9377139349124572,0.3537490044983156,32,1.0,True
HD95,WT,ReLU,BN vs IN,3.1305750761899622,2.358548681032567,-0.7720263951573951,0.8296094648806833,32,1.0,True
HD95,WT,Swish,BN vs IN,2.081273373399221,2.1077108076679516,0.026437434268730797,0.2889792660307835,30,1.0,False
HD95,WT,TanhExp,BN vs IN,2.003546505975277,1.9497201242686215,-0.053826381706655324,0.778500036262399,29,1.0,True
HD95,WT,LeakyReLU,GN vs IN,3.0064580886260797,2.048713057467209,-0.9577450311588707,0.09244448823351514,36,0.4622224411675757,True
HD95,WT,PReLU,GN vs IN,3.068296499238369,2.2227940132174258,-0.8455024860209432,0.1336610835352361,31,0.5346443341409444,True
HD95,WT,ReLU,GN vs IN,3.1305750761899622,2.7469963020535317,-0.3835787741364305,0.3140858276073457,29,0.9422574828220371,True
HD95,WT,Swish,GN vs IN,2.081273373399221,3.0279196807980977,0.9466463073988769,0.48704017635853436,28,0.9740803527170687,False
HD95,WT,TanhExp,GN vs IN,2.003546505975277,2.2140676507169745,0.2105211447416977,0.8854483408202136,30,0.9740803527170687,False
HD95,NCR,LeakyReLU,BN vs IN,5.184460506544263,6.04742155861234,0.8629610520680773,0.5738883262130674,59,1.0,False
HD95,NCR,PReLU,BN vs IN,5.575042190142089,5.307492101265272,-0.26755008887681697,0.6587884759754559,59,1.0,True
HD95,NCR,ReLU,BN vs IN,5.200457545698636,6.6876951429548726,1.4872375972562368,0.0018682514499084313,60,0.009341257249542156,False
HD95,NCR,Swish,BN vs IN,4.985169975925648,5.708854727772155,0.7236847518465073,0.801325548033113,58,1.0,False
HD95,NCR,TanhExp,BN vs IN,5.287928506187678,5.608011666877826,0.32008316069014775,0.1584348016011945,63,0.633739206404778,False
HD95,NCR,LeakyReLU,GN vs IN,5.184460506544263,5.505187815184931,0.32072730864066834,0.053869958913593585,58,0.21547983565437434,False
HD95,NCR,PReLU,GN vs IN,5.575042190142089,5.495525011390198,-0.07951717875189068,0.27975887175020686,55,0.8392323057053004,True
HD95,NCR,ReLU,GN vs IN,5.200457545698636,5.519178352777491,0.3187208070788552,0.2797441019017668,55,0.8392323057053004,False
HD95,NCR,Swish,GN vs IN,4.985169975925648,4.618006763848816,-0.3671632120768322,0.03568627056696938,56,0.1784313528348469,True
HD95,NCR,TanhExp,GN vs IN,5.287928506187678,5.403866562047209,0.11593805585953021,0.5645781010001711,57,0.8392323057053004,False
HD95,ED,LeakyReLU,BN vs IN,4.179770939696363,4.443969513656131,0.2641985739597681,0.23181223626935799,43,0.8688247187272777,False
HD95,ED,PReLU,BN vs IN,4.133258005986263,4.018233105621247,-0.11502490036501545,0.030402998631920752,48,0.15201499315960376,True
HD95,ED,ReLU,BN vs IN,4.277270381132349,3.8982796195483926,-0.3789907615839567,0.21720617968181943,49,0.8688247187272777,True
HD95,ED,Swish,BN vs IN,4.318613816484965,3.252609846218208,-1.066003970266757,0.8016483327847719,39,0.8688247187272777,True
HD95,ED,TanhExp,BN vs IN,3.087554790828432,3.6303500927386163,0.5427953019101843,0.3682238329302403,43,0.8688247187272777,False
HD95,ED,LeakyReLU,GN vs IN,4.179770939696363,3.1864754337238232,-0.9932955059725397,0.5125340309835549,45,1.0,True
HD95,ED,PReLU,GN vs IN,4.133258005986263,4.1782306242742555,0.044972618287992816,0.06882757919893012,46,0.3441378959946506,False
HD95,ED,ReLU,GN vs IN,4.277270381132349,4.037517936020261,-0.2397524451120887,0.962405344986142,36,1.0,True
HD95,ED,Swish,GN vs IN,4.318613816484965,4.201588076971439,-0.1170257395135259,0.820965031494844,37,1.0,True
HD95,ED,TanhExp,GN vs IN,3.087554790828432,3.4199667035404024,0.33241191271197046,0.8732287984422356,38,1.0,False
