block,comparison,region,metric,delta,p_wilcoxon_raw,p_wilcoxon_holm,p_ttest,direction,significant,n_nonzero
S2 factorial,BN + LeakyReLU vs IN + LeakyReLU,ET,HD95,5.842826619158764,0.02697265558996209,0.05394531117992418,0.1882864879464513,worse,no,92
S2 factorial,BN + LeakyReLU vs IN + LeakyReLU,TC,HD95,2.210280846045098,3.307411100550439e-08,9.922233301651318e-08,0.5049421928795559,worse,yes,111
S2 factorial,BN + LeakyReLU vs IN + LeakyReLU,WT,HD95,-10.380825623959659,0.9731742548878131,0.9731742548878131,0.01189166432919879,better,no,121
S2 factorial,BN + PReLU vs IN + LeakyReLU,ET,Dice,-0.018246692949966836,0.27588406187255554,0.27588406187255554,0.0420260631767227,worse,no,200
S2 factorial,BN + PReLU vs IN + LeakyReLU,TC,Dice,-0.015037403887939282,0.021037595505058793,0.054589338691584555,0.07415285983259644,worse,no,217
S2 factorial,BN + PReLU vs IN + LeakyReLU,WT,Dice,0.017050975721563444,0.018196446230528185,0.054589338691584555,0.05834412249093963,better,no,219
S2 factorial,BN + PReLU vs IN + LeakyReLU,ET,HD95,8.135097811022973,0.0011438704200235073,0.0034316112600705218,0.03508320764134509,worse,yes,80
S2 factorial,BN + PReLU vs IN + LeakyReLU,TC,HD95,3.985142449253356,0.11671699978320849,0.23343399956641697,0.29570612560752896,worse,no,88
S2 factorial,BN + PReLU vs IN + LeakyReLU,WT,HD95,-6.682823664839233,0.3272982760945138,0.3272982760945138,0.0758074902803106,better,no,109
S2 factorial,BN + Swish vs IN + LeakyReLU,ET,Dice,-0.04407019816525182,0.9563934102446241,1.0,0.0017560384507426233,worse,no,205
S2 factorial,BN + Swish vs IN + LeakyReLU,TC,Dice,-0.012116787254721872,2.563898662266695e-07,7.691695986800084e-07,0.12841199583673046,worse,yes,217
S2 factorial,BN + Swish vs IN + LeakyReLU,WT,Dice,0.021339521590778232,0.6950570703272294,1.0,0.02057812232087611,better,no,219
S2 factorial,BN + Swish vs IN + LeakyReLU,ET,HD95,18.951289454860166,0.003867702445270682,0.007735404890541364,0.0007984095749855757,worse,yes,89
S2 factorial,BN + Swish vs IN + LeakyReLU,TC,HD95,3.122647045501054,0.0014903712608322905,0.004471113782496872,0.3895647486743462,worse,yes,103
S2 factorial,BN + Swish vs IN + LeakyReLU,WT,HD95,-9.669427370049654,0.9226528929829176,0.9226528929829176,0.008153415006106387,better,no,122
S2 factorial,BN + TanhExp vs IN + LeakyReLU,ET,Dice,-0.0402370430623028,0.2042058810284697,0.4084117620569394,0.0009492554671150147,worse,no,203
S2 factorial,BN + TanhExp vs IN + LeakyReLU,TC,Dice,-0.02045580938585989,0.0004254616405465761,0.0012763849216397283,0.006253885774726707,worse,yes,215
S2 factorial,BN + TanhExp vs IN + LeakyReLU,WT,Dice,0.00028564738700365133,0.7299952896249362,0.7299952896249362,0.9760263353677249,better,no,219
S2 factorial,BN + TanhExp vs IN + LeakyReLU,ET,HD95,19.398756067941,0.0016095291515871857,0.004828587454761557,0.0001152855627471395,worse,yes,88
S2 factorial,BN + TanhExp vs IN + LeakyReLU,TC,HD95,7.15288104710103,0.002662522024789782,0.005325044049579564,0.028214503795008884,worse,yes,92
S2 factorial,BN + TanhExp vs IN + LeakyReLU,WT,HD95,-0.028675412495289265,0.01145529748741847,0.01145529748741847,0.9943264227397602,better,yes,115
S2 factorial,GN + LeakyReLU vs IN + LeakyReLU,ET,Dice,-0.02600547480548543,0.2290770561393618,0.4581541122787236,0.02380081935589734,worse,no,202
S2 factorial,GN + LeakyReLU vs IN + LeakyReLU,TC,Dice,-0.021925249060402385,5.2179231380122815e-08,1.5653769414036844e-07,0.022986206460009838,worse,yes,216
S2 factorial,GN + LeakyReLU vs IN + LeakyReLU,WT,Dice,0.028495694856554232,0.47673231209923816,0.47673231209923816,0.0031849077634298643,better,no,219
S2 factorial,GN + LeakyReLU vs IN + LeakyReLU,ET,HD95,12.49389337974683,0.03572321880275142,0.07144643760550284,0.00903960365659452,worse,no,93
